                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.309,                 2.8764,                 2.7458,                  1.407,                0.38311,                0.32453,                0.31956,                0.18903,                0.37505,                0.32378,                 0.3094,                0.17097,                 1.4355,                 2.8902,                 2.8639,                 1.6012,             0.00047353,             0.00047353,             0.00047353
                      2,                 1.4276,                 2.7508,                 2.2674,                 1.5043,                0.41321,                0.35065,                0.32501,                0.16078,                0.35571,                0.38123,                0.30771,                0.14578,                 1.6239,                 3.2647,                 2.9398,                 1.7998,             0.00093106,             0.00093106,             0.00093106
                      3,                 1.4582,                 2.7708,                 2.0807,                 1.5223,                0.44759,                0.37157,                0.34834,                0.19319,                0.45026,                0.35849,                 0.3338,                0.17046,                 1.5745,                 3.2139,                 2.3168,                 1.7222,              0.0013697,              0.0013697,              0.0013697
                      4,                 1.4428,                 2.7225,                 1.9464,                 1.5029,                0.46527,                0.45478,                 0.4111,                 0.2381,                0.44801,                0.43899,                0.38472,                0.20972,                 1.5036,                 2.9063,                 2.0558,                 1.6741,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3907,                 2.6041,                 1.7551,                 1.4708,                0.50556,                0.45056,                0.44961,                0.26874,                0.49608,                0.44264,                0.42972,                0.23398,                 1.4041,                 2.7667,                 1.8516,                 1.5531,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3759,                  2.613,                 1.7317,                 1.4504,                0.47625,                0.49722,                0.46151,                0.28575,                0.44817,                0.49378,                0.43391,                0.23756,                 1.3661,                  2.711,                 1.8175,                 1.5201,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.363,                 2.5666,                 1.6529,                 1.4362,                0.49741,                0.46733,                0.45179,                0.27627,                0.49143,                0.45603,                0.43838,                 0.2327,                 1.4111,                 2.7369,                 1.8956,                 1.5111,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3101,                 2.4809,                 1.5806,                 1.4068,                0.54135,                0.52515,                0.52953,                0.33714,                0.52734,                0.51194,                 0.5015,                0.29304,                 1.3653,                 2.5926,                 1.6121,                  1.511,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2993,                 2.4827,                 1.5331,                 1.3985,                 0.5097,                0.54923,                0.52256,                0.33772,                0.51728,                 0.5161,                0.50127,                0.28452,                 1.3205,                 2.5631,                 1.6174,                 1.4746,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2659,                 2.4444,                 1.5008,                 1.3793,                0.53902,                0.50931,                0.49345,                0.31475,                0.52741,                0.49583,                0.47072,                0.27505,                 1.3347,                 2.6037,                 1.7933,                 1.4778,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2608,                 2.3686,                 1.4207,                  1.374,                0.56886,                0.55012,                0.52638,                0.34451,                0.56975,                0.52503,                0.50722,                0.30228,                 1.2786,                 2.5587,                 1.5251,                 1.4445,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2547,                 2.4001,                 1.4179,                 1.3678,                0.61664,                0.50672,                0.56363,                0.36357,                0.60713,                0.49858,                0.54159,                0.32423,                 1.2723,                 2.5022,                 1.4703,                  1.445,              0.0011178,              0.0011178,              0.0011178
