                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2245,                 3.6321,                 3.2665,                 1.8332,                0.20569,                0.18121,                0.11342,                0.05914,                0.15444,                 0.1469,                0.10365,                0.05168,                 1.8636,                 3.9753,                 2.7832,                 1.6351,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.5293,                 2.6072,                 1.9751,                 1.3033,                0.19308,                0.27502,                0.17654,                0.10719,                0.19357,                0.27582,                0.17302,                0.09225,                 1.5513,                 3.1147,                 2.4359,                 1.3418,             0.00082092,             0.00082092,             0.00082092
                      3,                 1.3556,                  2.325,                 1.7029,                 1.1941,                0.36794,                0.28995,                0.21367,                0.13209,                0.36693,                0.28859,                0.21452,                0.11874,                 1.5931,                 3.0374,                 2.3072,                 1.3607,              0.0012294,              0.0012294,              0.0012294
                      4,                 1.2209,                 2.1202,                 1.4559,                 1.1158,                0.40336,                0.24686,                0.23081,                0.14291,                 0.4037,                0.24591,                0.22692,                0.13099,                 1.5454,                 2.8437,                 2.2515,                 1.3568,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.1618,                 1.9606,                 1.3635,                 1.0972,                0.28265,                0.28099,                0.20333,                0.11886,                0.28061,                0.27533,                0.20021,                0.11298,                 1.5134,                  2.862,                 2.2809,                 1.3341,              0.0012252,              0.0012252,              0.0012252
                      6,                 1.1205,                 1.8831,                 1.2352,                 1.0718,                0.38503,                0.29105,                0.25802,                 0.1479,                0.37889,                0.29547,                0.25013,                0.13634,                  1.503,                 2.8218,                 2.1443,                 1.3585,              0.0012191,              0.0012191,              0.0012191
                      7,                 1.0907,                 1.8528,                 1.1962,                 1.0621,                0.28887,                0.28665,                0.22342,                0.14371,                0.28887,                0.28665,                0.22002,                0.13551,                 1.4749,                 2.8335,                 2.2807,                 1.2935,              0.0012129,              0.0012129,              0.0012129
                      8,                  1.107,                 1.8345,                 1.1627,                 1.0542,                 0.3274,                0.32208,                0.26948,                0.16103,                0.33162,                0.31818,                0.25509,                0.14514,                 1.5229,                 3.0384,                  2.316,                 1.3557,              0.0012067,              0.0012067,              0.0012067
                      9,                 1.0764,                 1.8403,                 1.1188,                 1.0471,                0.36475,                0.28349,                0.24248,                0.15042,                0.36287,                0.28075,                0.24138,                0.14081,                 1.4674,                 2.8834,                 2.4342,                 1.3204,              0.0012005,              0.0012005,              0.0012005
                     10,                 1.0061,                 1.7175,                 1.0315,                  1.018,                0.31284,                0.27779,                0.22931,                0.14439,                0.32879,                0.29441,                0.23211,                0.13123,                 1.5062,                 2.9224,                 2.3293,                 1.3463,              0.0011943,              0.0011943,              0.0011943
                     11,                 1.0259,                  1.714,                 1.0347,                 1.0285,                0.31483,                0.33603,                0.26047,                0.16602,                0.32602,                0.33712,                0.26734,                0.15428,                 1.4566,                 2.8086,                 2.1588,                 1.3109,              0.0011881,              0.0011881,              0.0011881
                     12,                 1.0139,                 1.6804,                  1.002,                 1.0196,                0.36593,                0.31446,                0.26085,                0.16738,                0.36432,                0.31093,                0.24806,                0.14912,                 1.5037,                 2.9043,                 2.2934,                 1.3419,              0.0011819,              0.0011819,              0.0011819
                     13,                 1.0221,                 1.7231,                 1.0011,                 1.0251,                0.37572,                0.30946,                0.25108,                 0.1553,                0.37804,                0.30544,                0.24539,                0.14453,                  1.537,                 2.9203,                 2.2883,                 1.3639,              0.0011757,              0.0011757,              0.0011757
                     14,                0.98806,                 1.6535,                0.92567,                0.99963,                0.33326,                0.35799,                0.27301,                0.16306,                0.33161,                0.35993,                0.26732,                0.15504,                 1.5087,                 3.0052,                 2.1497,                 1.3129,              0.0011696,              0.0011696,              0.0011696
                     15,                0.96377,                 1.6203,                0.94855,                0.98527,                0.36637,                0.29077,                0.24146,                0.14869,                0.34777,                0.28492,                0.23245,                0.13405,                 1.4884,                  2.977,                 2.3387,                 1.3191,              0.0011634,              0.0011634,              0.0011634
                     16,                0.95175,                 1.5976,                0.92085,                0.99289,                0.33809,                0.32233,                0.26147,                0.17254,                0.34403,                0.33068,                0.26458,                0.15488,                 1.4696,                 3.0248,                 2.1228,                 1.3082,              0.0011572,              0.0011572,              0.0011572
                     17,                0.98718,                 1.6501,                0.94876,                 1.0158,                0.33283,                0.32832,                0.26174,                0.16885,                0.33073,                0.32757,                0.25666,                0.15228,                 1.4946,                 2.8849,                 2.2555,                 1.3253,               0.001151,               0.001151,               0.001151
                     18,                0.92587,                 1.5948,                0.89212,                0.97785,                0.31223,                0.31786,                0.24291,                0.15852,                0.29882,                  0.343,                 0.2422,                0.14069,                 1.4209,                 2.9151,                 2.3713,                 1.3041,              0.0011448,              0.0011448,              0.0011448
                     19,                0.93246,                 1.5559,                0.88635,                0.98033,                0.36229,                0.26387,                 0.2435,                0.15386,                0.30802,                0.30092,                0.23595,                0.14015,                  1.505,                 3.0467,                 2.2741,                 1.3659,              0.0011386,              0.0011386,              0.0011386
                     20,                0.93485,                 1.5399,                0.85878,                0.98315,                0.31657,                0.35078,                0.26114,                0.16941,                0.41273,                0.27086,                0.25884,                0.15932,                 1.5054,                 3.1053,                 2.2607,                  1.344,              0.0011324,              0.0011324,              0.0011324
                     21,                0.91934,                 1.5165,                0.84971,                0.96867,                0.36476,                 0.3329,                0.26026,                0.16393,                0.35017,                0.32468,                0.25081,                0.15039,                  1.471,                 2.7606,                 2.2948,                 1.3245,              0.0011263,              0.0011263,              0.0011263
                     22,                0.93356,                 1.5917,                0.87417,                0.98716,                0.35263,                0.29028,                0.24453,                0.16122,                 0.3472,                 0.2866,                0.23978,                0.14871,                 1.4495,                 2.9752,                 2.2974,                 1.3124,              0.0011201,              0.0011201,              0.0011201
                     23,                0.92335,                 1.5355,                0.79042,                0.97502,                 0.4257,                 0.2534,                0.25151,                0.15884,                 0.4243,                 0.2526,                0.24936,                0.14989,                 1.4699,                 2.9845,                 2.3535,                 1.3111,              0.0011139,              0.0011139,              0.0011139
                     24,                0.94021,                 1.5457,                0.83331,                0.97367,                0.32673,                0.34496,                0.27515,                0.18067,                0.32292,                0.34338,                0.27868,                0.17184,                 1.4962,                 2.9388,                 2.1973,                 1.3454,              0.0011077,              0.0011077,              0.0011077
                     25,                0.88014,                 1.4725,                0.78795,                0.96399,                0.28389,                0.32373,                0.23665,                0.14618,                0.28299,                0.30781,                0.23077,                0.13738,                 1.5256,                 3.0315,                  2.309,                 1.3716,              0.0011015,              0.0011015,              0.0011015
                     26,                0.90116,                  1.477,                0.81763,                0.97346,                0.32876,                0.34064,                0.26367,                0.16195,                0.33522,                0.33975,                 0.2561,                0.14585,                 1.4944,                 3.0604,                 2.3485,                 1.3549,              0.0010953,              0.0010953,              0.0010953
                     27,                0.89213,                 1.4834,                0.81259,                0.96936,                0.39359,                0.28869,                0.24986,                  0.167,                0.38733,                0.28261,                0.24986,                0.14897,                 1.4808,                 3.3107,                 2.3382,                 1.3243,              0.0010891,              0.0010891,              0.0010891
                     28,                0.87584,                 1.4357,                0.77913,                0.95622,                0.36664,                 0.3309,                0.26392,                0.16867,                0.36156,                0.32294,                0.24997,                 0.1544,                 1.4943,                 3.0297,                 2.4253,                 1.3645,              0.0010829,              0.0010829,              0.0010829
                     29,                0.87001,                 1.4574,                0.77087,                0.95978,                0.35176,                0.28924,                0.24887,                0.16447,                0.33275,                0.27923,                0.24153,                0.14762,                  1.415,                 2.9435,                 2.3231,                 1.2684,              0.0010768,              0.0010768,              0.0010768
                     30,                0.87363,                 1.4576,                0.77899,                0.96087,                0.35664,                0.30167,                   0.26,                0.16875,                 0.3582,                0.30282,                0.26339,                 0.1568,                 1.4593,                 2.8927,                 2.3694,                 1.3421,              0.0010706,              0.0010706,              0.0010706
                     31,                0.90079,                 1.4394,                 0.7552,                 0.9586,                0.35967,                0.29431,                 0.2481,                 0.1565,                0.35318,                0.29077,                0.23344,                0.13913,                 1.5021,                 3.1721,                 2.3892,                 1.3338,              0.0010644,              0.0010644,              0.0010644
                     32,                0.84669,                  1.433,                0.72906,                0.95527,                0.35294,                0.33652,                0.28566,                0.18251,                0.39052,                0.28368,                0.26956,                0.16179,                 1.4329,                 2.9831,                 2.1909,                 1.3019,              0.0010582,              0.0010582,              0.0010582
                     33,                0.84972,                 1.4226,                0.73445,                0.95296,                0.30814,                0.35024,                0.28045,                0.18733,                0.32173,                0.35223,                0.27297,                0.16799,                 1.4549,                 3.2166,                   2.29,                 1.3077,               0.001052,               0.001052,               0.001052
                     34,                0.85661,                 1.4286,                0.72889,                 0.9534,                0.33029,                0.34606,                0.28336,                0.18136,                0.32714,                0.34389,                0.27522,                 0.1649,                 1.4543,                 2.9405,                 2.2039,                 1.3188,              0.0010458,              0.0010458,              0.0010458
                     35,                 0.8668,                 1.4236,                0.75015,                0.95187,                0.35606,                0.35528,                0.27428,                0.18085,                0.35442,                0.35174,                0.26771,                0.15823,                 1.4417,                 3.0765,                 2.3318,                 1.3217,              0.0010396,              0.0010396,              0.0010396
                     36,                0.86201,                 1.4708,                0.75647,                0.95676,                0.35863,                0.25238,                0.22869,                0.14458,                0.35423,                0.24748,                0.21365,                0.12882,                  1.497,                 2.8946,                  2.435,                 1.3449,              0.0010334,              0.0010334,              0.0010334
                     37,                0.85006,                 1.4267,                0.77546,                0.95448,                 0.3568,                0.29643,                0.23873,                0.15182,                0.34999,                0.29289,                0.23357,                0.13899,                 1.4642,                 2.9804,                  2.349,                 1.3236,              0.0010273,              0.0010273,              0.0010273
                     38,                0.86274,                 1.4242,                0.72307,                0.94946,                0.34489,                0.28122,                0.23956,                0.15953,                0.34596,                0.28259,                0.24073,                0.14899,                 1.4227,                 3.0547,                 2.3189,                 1.3027,              0.0010211,              0.0010211,              0.0010211
                     39,                0.82108,                 1.3813,                0.70594,                0.93775,                0.34943,                0.30077,                 0.2569,                0.16662,                0.33209,                0.29248,                 0.2441,                0.14573,                 1.4689,                 3.1092,                 2.3552,                 1.3532,              0.0010149,              0.0010149,              0.0010149
                     40,                 0.8085,                 1.4063,                0.69618,                 0.9389,                0.31833,                0.33054,                0.24234,                0.15683,                 0.2951,                 0.3268,                0.24078,                0.14698,                 1.4661,                 2.9627,                 2.3762,                 1.3409,              0.0010087,              0.0010087,              0.0010087
                     41,                 0.8462,                 1.4124,                0.71392,                0.94354,                0.34849,                0.32843,                0.26915,                0.17303,                0.35121,                 0.3312,                0.26467,                0.16079,                 1.4507,                 2.9838,                  2.428,                 1.3126,              0.0010025,              0.0010025,              0.0010025
                     42,                0.83449,                 1.3662,                  0.709,                0.95122,                0.29317,                0.33531,                0.25922,                0.17087,                0.30468,                0.34083,                0.25973,                0.15586,                 1.4743,                 2.9888,                 2.2551,                 1.3204,             0.00099631,             0.00099631,             0.00099631
                     43,                0.80712,                 1.3346,                0.67274,                0.93458,                 0.3787,                0.29377,                0.27717,                0.17779,                0.37997,                0.29302,                0.26179,                0.16855,                 1.4745,                 3.0629,                 2.2534,                 1.3339,             0.00099013,             0.00099013,             0.00099013
                     44,                0.80066,                 1.3568,                0.65176,                0.92447,                 0.3594,                0.28257,                 0.2699,                0.17288,                0.35208,                0.28626,                0.26375,                0.16274,                 1.4865,                 3.0703,                 2.3358,                 1.3161,             0.00098394,             0.00098394,             0.00098394
                     45,                 0.8156,                 1.3662,                0.66675,                0.93454,                0.35717,                0.30834,                0.26742,                0.17596,                0.35497,                0.30753,                0.26012,                 0.1597,                   1.46,                 3.0379,                 2.3692,                 1.3212,             0.00097775,             0.00097775,             0.00097775
                     46,                0.82014,                 1.3854,                0.65874,                0.93274,                0.28724,                0.34555,                0.26219,                 0.1662,                0.27951,                0.33991,                0.25635,                0.15328,                 1.4745,                 3.1306,                  2.488,                 1.3402,             0.00097156,             0.00097156,             0.00097156
                     47,                0.79616,                 1.3347,                0.66433,                0.92972,                0.41748,                0.26495,                0.27484,                0.17871,                0.30872,                0.34183,                0.26313,                0.16384,                 1.4468,                 3.1139,                 2.3513,                 1.3607,             0.00096537,             0.00096537,             0.00096537
                     48,                0.79011,                 1.3289,                0.66761,                0.93178,                0.44789,                0.30052,                0.29419,                0.18853,                0.42432,                0.29307,                0.28288,                0.17551,                 1.5281,                 3.0229,                 2.3515,                  1.391,             0.00095919,             0.00095919,             0.00095919
                     49,                 0.8191,                 1.3325,                0.64741,                0.92747,                0.38696,                0.32822,                0.28795,                0.19168,                0.40251,                0.33844,                 0.3014,                 0.1832,                 1.4157,                 3.1117,                 2.4148,                 1.3177,               0.000953,               0.000953,               0.000953
                     50,                0.76572,                 1.3156,                0.63598,                0.92716,                0.37937,                0.33296,                 0.2796,                 0.1801,                0.36331,                0.32479,                0.27299,                0.16984,                 1.4638,                 3.0585,                 2.3648,                 1.3346,             0.00094681,             0.00094681,             0.00094681
                     51,                0.81445,                  1.366,                0.69735,                0.94278,                0.44401,                0.23609,                0.25261,                0.16943,                0.44933,                0.24019,                 0.2541,                0.15746,                 1.4762,                 2.9868,                 2.4551,                  1.347,             0.00094062,             0.00094062,             0.00094062
                     52,                 0.7994,                 1.3406,                0.66775,                0.93606,                 0.3676,                0.31862,                0.28257,                0.18417,                0.36047,                0.31493,                0.27193,                0.16816,                 1.4579,                  3.049,                 2.4399,                  1.338,             0.00093444,             0.00093444,             0.00093444
                     53,                  0.826,                 1.3458,                0.66877,                0.93341,                0.31495,                0.31293,                0.25307,                0.16354,                0.32441,                 0.3183,                0.25121,                0.15159,                 1.4467,                 3.1325,                  2.477,                 1.3332,             0.00092825,             0.00092825,             0.00092825
                     54,                0.79887,                 1.3203,                0.63971,                0.93018,                 0.3481,                0.33114,                0.27071,                0.17234,                0.36291,                0.32217,                0.27092,                0.16213,                 1.4858,                 3.0933,                 2.3004,                 1.3532,             0.00092206,             0.00092206,             0.00092206
                     55,                0.78118,                 1.2917,                0.63866,                0.92244,                0.40238,                0.29624,                0.25593,                0.16673,                0.39809,                0.29544,                0.24758,                0.14935,                 1.4566,                 3.1328,                 2.4168,                 1.3338,             0.00091588,             0.00091588,             0.00091588
                     56,                0.78558,                 1.3043,                0.63769,                0.93074,                0.33453,                0.35082,                0.28557,                0.18439,                0.33289,                0.35001,                0.28073,                0.16778,                 1.4453,                  3.041,                 2.2917,                 1.3414,             0.00090969,             0.00090969,             0.00090969
                     57,                0.78325,                 1.2913,                0.64419,                0.92161,                0.36935,                0.33301,                0.29049,                0.18348,                0.35246,                0.34257,                0.28412,                0.16489,                 1.4582,                 3.1024,                 2.2722,                 1.3258,              0.0009035,              0.0009035,              0.0009035
                     58,                0.78397,                  1.312,                 0.6463,                0.93243,                0.40323,                0.28672,                0.26353,                  0.175,                0.40795,                0.28015,                0.25737,                0.16035,                 1.5177,                 3.2849,                  2.372,                 1.3819,             0.00089731,             0.00089731,             0.00089731
                     59,                0.76737,                 1.3205,                0.64976,                0.92672,                 0.3541,                0.31912,                0.26021,                0.16913,                0.36614,                0.31955,                0.25311,                0.15862,                 1.4645,                 3.0669,                 2.3749,                 1.3359,             0.00089112,             0.00089112,             0.00089112
                     60,                0.78274,                 1.3198,                0.62989,                0.91914,                0.43987,                0.28863,                0.28121,                0.18127,                0.43986,                0.28762,                 0.2783,                0.16727,                 1.4432,                 3.1524,                 2.2004,                 1.3529,             0.00088494,             0.00088494,             0.00088494
                     61,                0.76538,                  1.276,                0.61989,                0.92522,                0.38887,                 0.3208,                0.29895,                0.20132,                 0.3968,                0.31956,                 0.2942,                0.18877,                 1.4324,                 3.1485,                 2.2141,                 1.3324,             0.00087875,             0.00087875,             0.00087875
                     62,                0.76959,                 1.2729,                0.63132,                 0.9179,                0.37502,                0.31873,                0.28842,                0.19255,                0.43422,                0.28026,                0.27633,                0.17923,                 1.4528,                 3.1907,                 2.3454,                 1.3067,             0.00087256,             0.00087256,             0.00087256
